split,condition,method,controller,res,cond_res,subset,via,n,f1,mse,rmse,miou,sr,fid,pfid,musiq,niqe,maniqa,qalign,deqa,unipercept_iaa,unipercept_iqa,vqr1,psnr,ssim,lpips,dists
multigen5k,canny,pidt_k28,omini,2048,2048,subset500,,500,0.49573438971212525,,,,,,,,,,,,,,,,,,
multigen5k,canny,pidt_k28,omini,2048,512,subset500,,500,0.7202830890448788,,,,,,,71.39993537139893,5.06727726446767,0.3484318879544735,4.3944296875,,,,,,,,
multigen5k,depth,pidt_k28,omini,2048,512,subset500,,500,,665.2869549483469,22.80897996142118,,,,,71.0687890548706,5.1967345111680805,0.34356150770187377,4.46500390625,,,,,,,,
multigen5k,canny,pidt_k28,omini,512,512,subset500,,500,0.7689120084776605,,,,,75.54371527818739,80.23852526711391,72.34409092712403,4.649315630866802,0.5977669048309326,4.3454296875,,,,,12.044869346618652,0.44203946045811476,0.49091528280079366,0.26861555087566374
multigen5k,depth,pidt_k28,omini,512,512,subset500,,500,,688.4871482974337,23.189917599932333,,,85.87980960895675,89.44759875592484,72.52813177490235,4.494789190698881,0.5618428620398045,4.394171875,,,,,11.398852558135987,0.3807956980809671,0.6085631411671638,0.29811807739734647
multigen5k,canny,vae,omini,2048,512,,upsampled_ref,5000,0.2764491220595408,,,,,,,,,,,,,,,,,,
multigen5k,canny,vae,omini,2048,2048,,upsampled_ref,5000,0.11442295403535056,,,,,,,,,,,,,,,,,,
multigen5k,canny,vae,omini,512,512,,,5000,0.7711800602165194,,,,,17.177382064186304,20.393605102397885,71.76384431533813,4.822658787588862,0.5032016955852509,4.12281328125,3.704376953125,67.6395,66.694,4.294864,12.088233531236648,0.4389035512876317,0.5091941115096211,0.287159605884552
multigen5k,depth,vae,omini,512,512,,,5000,,716.7787425784236,23.848952249620208,,,20.417976542080908,22.841538072710705,72.07208629608154,4.572009636266693,0.4919591787323356,4.2501640625,,,,,11.42359379105568,0.3761986842665601,0.6205640530407429,0.31273325239419936
multigen5k,canny,pid_roundtrip,,2048,2048,,,5000,1.0,,,,,,,,,,,,,,,,,,
